topic,news_sentiment,news_volume,eksi_sentiment,eksi_volume,avg_favorites,google_trends,date
economy,,,-0.821,1.0,0.0,34.285714285714285,2024-01-29
economy,,,-0.09389999999999998,2.0,0.0,30.0,2024-02-05
economy,0.7797,1.0,0.4876,1.0,0.0,18.714285714285715,2024-02-12
economy,,,-0.21035000000000004,4.0,0.0,20.428571428571427,2024-02-19
economy,0.2767,2.0,0.996,1.0,0.0,43.0,2024-02-26
economy,0.3088666666666667,3.0,0.935,1.0,0.0,39.714285714285715,2024-03-04
economy,0.9853,1.0,-0.15172857142857143,7.0,0.0,25.428571428571427,2024-03-11
economy,,,-0.8407666666666667,3.0,0.0,26.142857142857142,2024-03-18
economy,,,-0.39337500000000003,4.0,0.0,48.142857142857146,2024-03-25
economy,,,0.47945000000000004,2.0,0.0,40.57142857142857,2024-04-01
economy,,,-0.21480000000000005,2.0,0.0,27.0,2024-04-08
economy,-0.8036,1.0,-0.27685714285714286,14.0,0.0,28.857142857142858,2024-04-15
economy,0.1258,1.0,-0.5411666666666667,3.0,0.0,56.0,2024-04-22
economy,0.856725,4.0,-0.74215,4.0,0.0,51.285714285714285,2024-04-29
economy,0.39946666666666664,3.0,-0.7131857142857143,7.0,0.0,29.142857142857142,2024-05-06
economy,0.2333,1.0,-0.6311333333333333,6.0,0.0,23.0,2024-05-13
economy,,,-0.8983,6.0,0.0,23.428571428571427,2024-05-20
economy,,,-0.53785,4.0,0.0,51.142857142857146,2024-05-27
economy,0.66665,2.0,0.021928571428571426,7.0,0.0,43.142857142857146,2024-06-03
economy,-0.032166666666666656,3.0,-0.8595,1.0,0.0,19.571428571428573,2024-06-10
economy,-0.2301,1.0,-0.07410000000000001,3.0,0.0,23.857142857142858,2024-06-17
economy,0.7209666666666666,3.0,-0.19915999999999998,5.0,0.0,62.714285714285715,2024-06-24
economy,0.9634499999999999,2.0,0.2456125,8.0,0.0,52.0,2024-07-01
economy,0.9218666666666667,3.0,-0.998,2.0,0.0,20.428571428571427,2024-07-08
economy,0.8266,1.0,-0.28048,5.0,0.0,17.571428571428573,2024-07-15
economy,0.3398333333333334,3.0,-0.5354,4.0,0.0,22.0,2024-07-22
economy,0.9353,1.0,-0.9911,3.0,0.0,44.42857142857143,2024-07-29
economy,,,-0.32725,8.0,0.0,45.857142857142854,2024-08-05
economy,0.872,2.0,-0.6591,6.0,0.0,34.285714285714285,2024-08-12
economy,,,-0.8351000000000001,6.0,0.0,27.285714285714285,2024-08-19
economy,-0.1062,3.0,-0.9509333333333334,3.0,0.0,45.857142857142854,2024-08-26
economy,-0.6527333333333334,3.0,-0.9972,2.0,0.0,40.714285714285715,2024-09-02
economy,-0.2364,1.0,-0.9702000000000001,3.0,0.0,19.428571428571427,2024-09-09
economy,-0.5378333333333334,3.0,-0.37060000000000004,8.0,0.0,15.428571428571429,2024-09-16
economy,-0.0751,2.0,-0.9711,3.0,0.0,39.57142857142857,2024-09-23
economy,0.030307692307692327,13.0,-0.33652,5.0,0.0,37.42857142857143,2024-09-30
economy,0.400075,4.0,-0.37504,5.0,0.0,19.714285714285715,2024-10-07
economy,-0.40571999999999997,5.0,-0.38949999999999996,2.0,0.0,18.0,2024-10-14
economy,-0.07606666666666667,3.0,-0.46259999999999996,3.0,0.0,21.428571428571427,2024-10-21
economy,-0.16474999999999998,4.0,-0.2048125,8.0,0.0,52.57142857142857,2024-10-28
economy,0.08216666666666667,3.0,-0.9431,2.0,0.0,52.285714285714285,2024-11-04
economy,0.6121,3.0,-0.579825,4.0,0.0,30.285714285714285,2024-11-11
economy,,,-0.9968,1.0,0.0,22.571428571428573,2024-11-18
economy,-0.20600000000000002,2.0,-0.8441,4.0,0.0,53.142857142857146,2024-11-25
economy,0.9422999999999999,4.0,-0.44887499999999997,4.0,0.0,47.714285714285715,2024-12-02
economy,0.9390499999999999,2.0,-0.36966666666666664,3.0,0.0,31.857142857142858,2024-12-09
economy,,,-0.512675,4.0,0.0,44.42857142857143,2024-12-16
economy,0.8329,1.0,-0.7107428571428571,7.0,0.0,70.57142857142857,2024-12-23
economy,0.0722,3.0,-0.559625,4.0,0.0,51.142857142857146,2024-12-30
economy,0.250525,4.0,-0.9008428571428572,7.0,0.0,22.714285714285715,2025-01-06
economy,0.2261,2.0,-0.7066250000000001,8.0,0.0,18.714285714285715,2025-01-13
economy,-0.123,1.0,-0.60046,5.0,0.0,19.285714285714285,2025-01-20
economy,0.9211,1.0,-0.9959000000000001,3.0,0.0,35.285714285714285,2025-01-27
economy,-0.09563333333333335,3.0,-0.6991499999999999,4.0,0.0,30.571428571428573,2025-02-03
economy,0.4024,1.0,-0.24405000000000002,6.0,0.0,17.285714285714285,2025-02-10
economy,-0.4324,2.0,-0.6584666666666666,6.0,0.0,17.714285714285715,2025-02-17
economy,0.3209666666666667,3.0,,,,38.42857142857143,2025-02-24
economy,0.4093,2.0,-0.3165,3.0,0.0,34.142857142857146,2025-03-03
economy,0.8946,1.0,-0.3901333333333333,3.0,0.0,18.285714285714285,2025-03-10
economy,-0.08325000000000005,2.0,-0.2638,6.0,0.0,17.0,2025-03-17
economy,0.4867333333333333,3.0,0.8709,1.0,0.0,41.57142857142857,2025-03-24
economy,,,0.813,2.0,0.0,39.42857142857143,2025-03-31
economy,-0.010450000000000015,2.0,-0.08936666666666666,6.0,0.0,24.0,2025-04-07
economy,-0.7564666666666667,3.0,-0.33676666666666666,3.0,0.0,21.714285714285715,2025-04-14
economy,0.9692,1.0,-0.814,1.0,0.0,27.428571428571427,2025-04-21
economy,0.4578,1.0,-0.46582500000000004,4.0,0.0,45.57142857142857,2025-04-28
economy,0.012800000000000008,6.0,-0.46803333333333336,6.0,0.0,35.57142857142857,2025-05-05
economy,-0.16324999999999998,4.0,-0.39438,5.0,0.0,20.428571428571427,2025-05-12
economy,-0.06255,2.0,-0.41254444444444444,9.0,0.0,20.571428571428573,2025-05-19
economy,-0.9568,1.0,-0.35370000000000007,3.0,0.0,50.714285714285715,2025-05-26
economy,0.41529230769230774,13.0,-0.2,4.0,0.0,45.0,2025-06-02
economy,-0.9913,1.0,-0.5100809523809524,21.0,0.0,23.428571428571427,2025-06-09
economy,-0.2217,3.0,-0.609,6.0,0.0,25.857142857142858,2025-06-16
economy,0.393675,4.0,-0.04115000000000002,6.0,0.0,69.14285714285714,2025-06-23
economy,0.4001,4.0,-0.2348727272727273,11.0,0.0,50.857142857142854,2025-06-30
economy,-0.29479999999999995,4.0,-0.39095,14.0,0.0,17.428571428571427,2025-07-07
economy,-0.124775,4.0,-0.6564125,8.0,0.0,16.571428571428573,2025-07-14
economy,0.9336666666666668,3.0,-0.13246000000000002,5.0,0.0,15.142857142857142,2025-07-21
economy,0.19026666666666667,3.0,-0.38055,8.0,0.0,25.714285714285715,2025-07-28
economy,0.32786666666666664,3.0,-0.6704,6.0,0.0,23.857142857142858,2025-08-04
economy,0.7822999999999999,3.0,-0.822675,4.0,0.0,15.285714285714286,2025-08-11
economy,-0.21333333333333335,3.0,-0.6064470588235293,68.0,0.0,17.428571428571427,2025-08-18
economy,0.9022,3.0,-0.029383333333333355,6.0,0.0,34.285714285714285,2025-08-25
economy,0.5886857142857143,7.0,-0.4149933333333333,15.0,0.0,27.857142857142858,2025-09-01
economy,0.03983333333333333,6.0,-0.4278666666666667,3.0,0.0,13.285714285714286,2025-09-08
economy,-0.21082499999999998,4.0,-0.94225,2.0,0.0,12.0,2025-09-15
economy,-0.08636666666666669,3.0,-0.37666666666666665,3.0,0.0,33.714285714285715,2025-09-22
economy,0.9571,1.0,-0.5548071428571428,14.0,0.0,32.857142857142854,2025-09-29
economy,0.07114999999999999,4.0,,,,18.285714285714285,2025-10-06
economy,-0.37028,5.0,-0.7663066666666667,15.0,0.0,18.142857142857142,2025-10-13
economy,0.5222800000000001,5.0,-0.77686,10.0,0.0,20.142857142857142,2025-10-20
economy,0.27264,5.0,-0.09739999999999997,6.0,0.0,45.0,2025-10-27
economy,0.98915,2.0,-0.5636176470588236,17.0,0.0,37.285714285714285,2025-11-03
economy,0.5512,4.0,-0.4839,11.0,0.0,18.0,2025-11-10
economy,0.77296,5.0,-0.3376333333333333,6.0,0.0,19.714285714285715,2025-11-17
economy,0.15206666666666666,6.0,-0.39541,10.0,0.0,53.0,2025-11-24
economy,0.26836666666666664,3.0,-0.31854000000000005,5.0,0.0,47.285714285714285,2025-12-01
economy,0.48593571428571425,14.0,-0.44261818181818186,11.0,0.0,22.714285714285715,2025-12-08
